mask,edge_count,edge_graph_id,equality_graph_id,r0_profile_j123,indexed_replay_key
0x034a,22,EG0428,EQ085,010,0x034a
0x034c,20,EG0431,EQ093,010,0x034c
0x034e,20,EG0380,EQ094,010,0x034e
0x0350,24,EG0103,EQ036,110,0x0350
0x0352,24,EG0157,EQ036,110,0x0352
0x0354,26,EG0154,EQ010,110,0x0354
0x0356,26,EG0100,EQ010,110,0x0356
0x0358,24,EG0376,EQ030,110,0x0358
0x035a,22,EG1019,EQ065,110,0x035a
0x035c,22,EG0429,EQ092,110,0x035c
0x035e,20,EG0995,EQ110,110,0x035e
0x0360,22,EG0087,EQ035,010,0x0360
0x0362,20,EG0883,EQ114,010,0x0362
0x0364,24,EG0138,EQ031,010,0x0364
0x0366,22,EG0856,EQ103,010,0x0366
0x0368,22,EG0361,EQ086,010,0x0368
0x036a,22,EG0412,EQ084,010,0x036a
0x036c,20,EG0414,EQ088,010,0x036c
0x036e,20,EG0364,EQ089,010,0x036e
0x0370,24,EG0085,EQ033,110,0x0370
0x0372,24,EG0139,EQ033,110,0x0372
0x0374,26,EG0136,EQ010,110,0x0374
0x0376,26,EG0082,EQ010,110,0x0376
0x0378,24,EG0360,EQ029,110,0x0378
0x037a,22,EG1012,EQ064,110,0x037a
0x037c,22,EG0413,EQ087,110,0x037c
0x037e,20,EG0987,EQ108,110,0x037e
0x0380,22,EG0174,EQ050,010,0x0380
0x0382,20,EG0900,EQ126,010,0x0382
0x0384,24,EG0172,EQ048,010,0x0384
0x0386,22,EG0899,EQ096,010,0x0386
0x0388,22,EG0444,EQ080,010,0x0388
0x038a,22,EG0444,EQ080,010,0x038a
0x038c,20,EG0446,EQ101,010,0x038c
0x038e,20,EG0446,EQ101,010,0x038e
0x0390,26,EG0031,EQ012,110,0x0390
0x0392,26,EG0031,EQ012,110,0x0392
0x0394,28,EG0028,EQ004,110,0x0394
0x0396,28,EG0028,EQ004,110,0x0396
0x0398,26,EG0306,EQ019,110,0x0398
0x039a,24,EG0957,EQ053,110,0x039a
0x039c,24,EG0309,EQ055,110,0x039c
0x039e,22,EG0959,EQ057,110,0x039e
0x03a0,24,EG0051,EQ015,010,0x03a0
0x03a2,22,EG0841,EQ075,010,0x03a2
0x03a4,26,EG0048,EQ011,010,0x03a4
0x03a6,24,EG0839,EQ066,010,0x03a6
0x03a8,24,EG0326,EQ062,010,0x03a8
0x03aa,24,EG0326,EQ062,010,0x03aa
0x03ac,22,EG0329,EQ073,010,0x03ac
0x03ae,22,EG0329,EQ073,010,0x03ae
0x03b0,24,EG0187,EQ051,110,0x03b0
0x03b2,24,EG0187,EQ051,110,0x03b2
0x03b4,26,EG0185,EQ007,110,0x03b4
0x03b6,26,EG0185,EQ007,110,0x03b6
0x03b8,24,EG0457,EQ025,110,0x03b8
0x03ba,22,EG1027,EQ060,110,0x03ba
0x03bc,22,EG0459,EQ105,110,0x03bc
0x03be,20,EG1028,EQ128,110,0x03be
0x03c0,20,EG0646,EQ125,010,0x03c0
0x03c2,22,EG0188,EQ052,010,0x03c2
0x03c4,22,EG0645,EQ096,010,0x03c4
0x03c6,24,EG0186,EQ048,010,0x03c6
0x03c8,22,EG0458,EQ081,010,0x03c8
0x03ca,22,EG0458,EQ081,010,0x03ca
0x03cc,20,EG0460,EQ106,010,0x03cc
0x03ce,20,EG0460,EQ106,010,0x03ce
0x03d0,26,EG0049,EQ014,110,0x03d0
0x03d2,26,EG0049,EQ014,110,0x03d2
0x03d4,28,EG0046,EQ004,110,0x03d4
0x03d6,28,EG0046,EQ004,110,0x03d6
0x03d8,24,EG0711,EQ054,110,0x03d8
0x03da,26,EG0324,EQ020,110,0x03da
0x03dc,22,EG0713,EQ060,110,0x03dc
0x03de,24,EG0327,EQ058,110,0x03de
0x03e0,22,EG0578,EQ071,010,0x03e0
0x03e2,24,EG0033,EQ013,010,0x03e2
0x03e4,24,EG0576,EQ066,010,0x03e4
0x03e6,26,EG0030,EQ011,010,0x03e6
0x03e8,24,EG0308,EQ061,010,0x03e8
0x03ea,24,EG0308,EQ061,010,0x03ea
0x03ec,22,EG0311,EQ069,010,0x03ec
0x03ee,22,EG0311,EQ069,010,0x03ee
